Epoch 1/3 | train_loss=1.5006 acc=0.5647 | val_loss=1.2429 acc=0.6234 | time=105.4s
Epoch 2/3 | train_loss=1.1458 acc=0.6440 | val_loss=1.1666 acc=0.6362 | time=104.6s
Epoch 3/3 | train_loss=1.0363 acc=0.6794 | val_loss=1.0797 acc=0.6787 | time=106.3s
Epoch 1/3 | train_loss=1.5265 acc=0.5494 | val_loss=1.2477 acc=0.6213 | time=100.9s
Epoch 2/3 | train_loss=1.1512 acc=0.6426 | val_loss=1.1567 acc=0.6277 | time=153.8s
Epoch 3/3 | train_loss=1.0463 acc=0.6750 | val_loss=1.1066 acc=0.6468 | time=282.6s
Epoch 1/3 | train_loss=1.5325 acc=0.5492 | val_loss=1.2512 acc=0.6085 | time=127.2s
Epoch 2/3 | train_loss=1.1592 acc=0.6430 | val_loss=1.1382 acc=0.6553 | time=95.5s
Epoch 3/3 | train_loss=1.0450 acc=0.6820 | val_loss=1.1034 acc=0.6426 | time=95.1s
